PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
AUT,1,1914,1914,1,1,26,O,13641,.,.,.,1
AUT,1,1914,1914,2,1,26,O,13049,.,.,.,1
AUT,1,1914,1914,3,1,26,O,13926,.,.,.,1
AUT,1,1914,1914,4,1,26,O,14028,.,.,.,1
AUT,1,1914,1914,5,1,26,O,14429,.,.,.,1
AUT,1,1914,1914,6,1,26,O,13195,.,.,.,1
AUT,1,1914,1914,7,1,26,O,13481,.,.,.,1
AUT,1,1914,1914,8,1,26,O,13532,.,.,.,1
AUT,1,1914,1914,9,1,26,O,12798,.,.,.,1
AUT,1,1914,1914,10,1,26,O,13320,.,.,.,1
AUT,1,1914,1914,11,1,26,O,13044,.,.,.,1
AUT,1,1914,1914,12,1,26,O,13249,.,.,.,1
AUT,1,1914,1914,TOT,1,26,O,161692,.,.,.,1
AUT,1,1915,1915,1,1,26,O,13955,.,.,.,1
AUT,1,1915,1915,2,1,26,O,12897,.,.,.,1
AUT,1,1915,1915,3,1,26,O,13941,.,.,.,1
AUT,1,1915,1915,4,1,26,O,12291,.,.,.,1
AUT,1,1915,1915,5,1,26,O,10045,.,.,.,1
AUT,1,1915,1915,6,1,26,O,8944,.,.,.,1
AUT,1,1915,1915,7,1,26,O,9769,.,.,.,1
AUT,1,1915,1915,8,1,26,O,9018,.,.,.,1
AUT,1,1915,1915,9,1,26,O,9072,.,.,.,1
AUT,1,1915,1915,10,1,26,O,8660,.,.,.,1
AUT,1,1915,1915,11,1,26,O,8300,.,.,.,1
AUT,1,1915,1915,12,1,26,O,8788,.,.,.,1
AUT,1,1915,1915,TOT,1,26,O,125680,.,.,.,1
AUT,1,1916,1916,1,1,26,O,9251,.,.,.,1
AUT,1,1916,1916,2,1,26,O,8486,.,.,.,1
AUT,1,1916,1916,3,1,26,O,8436,.,.,.,1
AUT,1,1916,1916,4,1,26,O,8149,.,.,.,1
AUT,1,1916,1916,5,1,26,O,8586,.,.,.,1
AUT,1,1916,1916,6,1,26,O,8383,.,.,.,1
