PopName,Area,Year,YearReg,Month,Vital,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
KOR,1,1981,1981,1,1,3,O,88151,.,.,.,1
KOR,1,1981,1981,2,1,3,O,93556,.,.,.,1
KOR,1,1981,1981,3,1,3,O,70421,.,.,.,1
KOR,1,1981,1981,4,1,3,O,66093,.,.,.,1
KOR,1,1981,1981,5,1,3,O,68940,.,.,.,1
KOR,1,1981,1981,6,1,3,O,64634,.,.,.,1
KOR,1,1981,1981,7,1,3,O,67722,.,.,.,1
KOR,1,1981,1981,8,1,3,O,69023,.,.,.,1
KOR,1,1981,1981,9,1,3,O,68127,.,.,.,1
KOR,1,1981,1981,10,1,3,O,69425,.,.,.,1
KOR,1,1981,1981,11,1,3,O,70250,.,.,.,1
KOR,1,1981,1981,12,1,3,O,71067,.,.,.,1
KOR,1,1981,1981,TOT,1,2,O,867409,.,.,.,1
KOR,1,1982,1982,1,1,3,O,93141,.,.,.,1
KOR,1,1982,1982,2,1,3,O,94346,.,.,.,1
KOR,1,1982,1982,3,1,3,O,70860,.,.,.,1
KOR,1,1982,1982,4,1,3,O,66316,.,.,.,1
KOR,1,1982,1982,5,1,3,O,64466,.,.,.,1
KOR,1,1982,1982,6,1,3,O,63209,.,.,.,1
KOR,1,1982,1982,7,1,3,O,64074,.,.,.,1
KOR,1,1982,1982,8,1,3,O,64447,.,.,.,1
KOR,1,1982,1982,9,1,3,O,64079,.,.,.,1
KOR,1,1982,1982,10,1,3,O,68418,.,.,.,1
KOR,1,1982,1982,11,1,3,O,66545,.,.,.,1
KOR,1,1982,1982,12,1,3,O,68411,.,.,.,1
KOR,1,1982,1982,TOT,1,2,O,848312,.,.,.,1
KOR,1,1983,1983,1,1,3,O,86723,.,.,.,1
KOR,1,1983,1983,2,1,3,O,89422,.,.,.,1
KOR,1,1983,1983,3,1,3,O,61169,.,.,.,1
KOR,1,1983,1983,4,1,3,O,56581,.,.,.,1
KOR,1,1983,1983,5,1,3,O,57580,.,.,.,1
KOR,1,1983,1983,6,1,3,O,54972,.,.,.,1
KOR,1,1983,1983,7,1,3,O,57652,.,.,.,1
KOR,1,1983,1983,8,1,3,O,58611,.,.,.,1
KOR,1,1983,1983,9,1,3,O,59233,.,.,.,1
KOR,1,1983,1983,10,1,3,O,63446,.,.,.,1
KOR,1,1983,1983,11,1,3,O,63070,.,.,.,1
KOR,1,1983,1983,12,1,3,O,60696,.,.,.,1
KOR,1,1983,1983,TOT,1,2,O,769155,.,.,.,1
KOR,1,1984,1984,1,1,3,O,78667,.,.,.,1
KOR,1,1984,1984,2,1,3,O,86565,.,.,.,1
KOR,1,1984,1984,3,1,3,O,50844,.,.,.,1
KOR,1,1984,1984,4,1,3,O,48969,.,.,.,1
KOR,1,1984,1984,5,1,3,O,48151,.,.,.,1
KOR,1,1984,1984,6,1,3,O,46690,.,.,.,1
KOR,1,1984,1984,7,1,3,O,50651,.,.,.,1
KOR,1,1984,1984,8,1,3,O,51756,.,.,.,1
KOR,1,1984,1984,9,1,3,O,52811,.,.,.,1
KOR,1,1984,1984,10,1,3,O,56946,.,.,.,1
KOR,1,1984,1984,11,1,3,O,53017,.,.,.,1
KOR,1,1984,1984,12,1,3,O,49726,.,.,.,1
KOR,1,1984,1984,TOT,1,2,O,674793,.,.,.,1
KOR,1,1985,1985,1,1,3,O,72917,.,.,.,1
KOR,1,1985,1985,2,1,3,O,75291,.,.,.,1
KOR,1,1985,1985,3,1,3,O,48440,.,.,.,1
KOR,1,1985,1985,4,1,3,O,45366,.,.,.,1
KOR,1,1985,1985,5,1,3,O,47386,.,.,.,1
KOR,1,1985,1985,6,1,3,O,46209,.,.,.,1
KOR,1,1985,1985,7,1,3,O,50174,.,.,.,1
KOR,1,1985,1985,8,1,3,O,52437,.,.,.,1
KOR,1,1985,1985,9,1,3,O,51726,.,.,.,1
KOR,1,1985,1985,10,1,3,O,57499,.,.,.,1
KOR,1,1985,1985,11,1,3,O,54395,.,.,.,1
KOR,1,1985,1985,12,1,3,O,53649,.,.,.,1
KOR,1,1985,1985,TOT,1,2,O,655489,.,.,.,1
KOR,1,1986,1986,1,1,3,O,69708,.,.,.,1
KOR,1,1986,1986,2,1,3,O,73659,.,.,.,1
KOR,1,1986,1986,3,1,3,O,48593,.,.,.,1
KOR,1,1986,1986,4,1,3,O,47880,.,.,.,1
KOR,1,1986,1986,5,1,3,O,47800,.,.,.,1
KOR,1,1986,1986,6,1,3,O,45245,.,.,.,1
KOR,1,1986,1986,7,1,3,O,48895,.,.,.,1
KOR,1,1986,1986,8,1,3,O,49608,.,.,.,1
KOR,1,1986,1986,9,1,3,O,50185,.,.,.,1
KOR,1,1986,1986,10,1,3,O,52638,.,.,.,1
KOR,1,1986,1986,11,1,3,O,52631,.,.,.,1
KOR,1,1986,1986,12,1,3,O,49177,.,.,.,1
KOR,1,1986,1986,TOT,1,2,O,636019,.,.,.,1
KOR,1,1987,1987,1,1,3,O,66975,.,.,.,1
KOR,1,1987,1987,2,1,3,O,72652,.,.,.,1
KOR,1,1987,1987,3,1,3,O,46306,.,.,.,1
KOR,1,1987,1987,4,1,3,O,47635,.,.,.,1
KOR,1,1987,1987,5,1,3,O,47452,.,.,.,1
KOR,1,1987,1987,6,1,3,O,45605,.,.,.,1
KOR,1,1987,1987,7,1,3,O,46936,.,.,.,1
KOR,1,1987,1987,8,1,3,O,48582,.,.,.,1
KOR,1,1987,1987,9,1,3,O,50479,.,.,.,1
KOR,1,1987,1987,10,1,3,O,53605,.,.,.,1
KOR,1,1987,1987,11,1,3,O,50425,.,.,.,1
KOR,1,1987,1987,12,1,3,O,47179,.,.,.,1
KOR,1,1987,1987,TOT,1,2,O,623831,.,.,.,1
KOR,1,1988,1988,1,1,3,O,69373,.,.,.,1
KOR,1,1988,1988,2,1,3,O,72415,.,.,.,1
KOR,1,1988,1988,3,1,3,O,43404,.,.,.,1
KOR,1,1988,1988,4,1,3,O,44318,.,.,.,1
KOR,1,1988,1988,5,1,3,O,46754,.,.,.,1
KOR,1,1988,1988,6,1,3,O,44489,.,.,.,1
KOR,1,1988,1988,7,1,3,O,47122,.,.,.,1
KOR,1,1988,1988,8,1,3,O,49807,.,.,.,1
