Country,Source,earliest_date,latest_date,periods_total,periods_present,periods_missing,earliest_date_country,latest_date_country,periods_present_country,periods_total_country,periods_missing_country,earliest_date_population,latest_date_population,earliest_date_country_population,latest_date_country_population
Albania,UN,1981-01-01,2023-12-01,516,432,84,1981-01-01,2023-12-01,432,516,84,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Algeria,UN,1978-01-01,2016-12-01,468,204,264,1978-01-01,2016-12-01,204,468,264,1950-01-01,2023-12-01,1950-01-01,2023-12-01
American Samoa,UN,1971-01-01,2023-12-01,636,492,144,1971-01-01,2023-12-01,492,636,144,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Andorra,UN,1992-01-01,2018-12-01,324,204,120,1992-01-01,2018-12-01,204,324,120,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Anguilla,UN,2008-01-01,2024-12-01,204,204,0,2008-01-01,2024-12-01,204,204,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Antigua and Barbuda,UN,1972-01-01,2019-12-01,576,204,372,1972-01-01,2019-12-01,204,576,372,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Argentina,UN,1980-01-01,2022-12-01,516,84,432,1980-01-01,2022-12-01,84,516,432,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Armenia,UN,1987-01-01,2023-12-01,444,300,144,1987-01-01,2023-12-01,300,444,144,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Aruba,UN,2002-01-01,2024-09-01,273,237,36,2002-01-01,2024-09-01,237,273,36,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Australia,HMD,1962-01-01,2021-12-01,720,720,0,1962-01-01,2023-12-01,744,744,0,1921-01-01,2022-12-01,1921-01-01,2023-12-01
Australia,UN,2022-01-01,2023-12-01,24,24,0,1962-01-01,2023-12-01,744,744,0,2023-01-01,2023-12-01,1921-01-01,2023-12-01
Austria,HMD,1914-01-01,2024-12-01,1332,1320,12,1914-01-01,2025-06-01,1326,1338,12,1947-01-01,2024-12-01,1947-01-01,2024-12-01
Austria,UN,2025-01-01,2025-06-01,6,6,0,1914-01-01,2025-06-01,1326,1338,12,1999-01-01,1999-12-01,1947-01-01,2024-12-01
Azerbaijan,UN,1992-01-01,2021-12-01,360,312,48,1992-01-01,2021-12-01,312,360,48,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Bahamas,UN,1972-01-01,2009-12-01,456,108,348,1972-01-01,2009-12-01,108,456,348,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Bahrain,UN,1975-01-01,2022-12-01,576,528,48,1975-01-01,2022-12-01,528,576,48,1950-01-01,2023-12-01,1950-01-01,2023-12-01
